Temperature ,Temperature
Degrees Fahrenheit,Temperature
Degrees Fahrenheit,Temperature
Degrees Fahrenheit,Temperature
LUX,Brightness
Dollar amount of refund,Price
Waterbed temp,Temperature
Bedroom temp,Temperature
Dollar Amount,Price
gas,Gas_Level
power,Power
baromin,Pressure
batt_lvl,Battery_Level
dailyrainin,Rain_Index
dewptf,Temperature
humidity,Humidity
light_lvl,Brightness
measurementtime,Time
rainin,Rain_Index
solarradiation,Brightness
tempf,Temperature
winddir,Wind
winddir_avg2m,Wind
windgustdir,Speed
windgustdir_10m,Speed
windgustmph,Speed
windgustmph_10m,Speed
windspdmph_avg2m,Speed
windspeedmph,Speed
temperature1,Temperature
temperature2,Temperature
temperature3,Temperature
temperature4,Temperature
temperature5,Temperature
temperature6,Temperature
humidity,Humidity
temperature,Temperature
humidity,Humidity
temp,Temperature
time,Time
baromin,Pressure
batt_lvl,Battery_Level
dailyrainin,Rain_Index
dewptf,Temperature
humidity,Humidity
light_lvl,Brightness
measurementtime,Time
rainin,Rain_Index
tempf,Temperature
winddir,Wind
winddir_avg2m,Wind
windgustdir,Speed
windgustdir_10m,Speed
windgustmph,Speed
windgustmph_10m,Speed
windspdmph_avg2m,Speed
windspeedmph,Speed
time,Time
t1,Temperature
t2,Temperature
t3,Temperature
t4,Temperature
t5,Temperature
t6,Temperature
tr,Temperature
tv,Temperature
baromin,Pressure
batt_lvl,Battery_Level
dailyrainin,Rain_Index
dewptf,Temperature
humidity,Humidity
light_lvl,Brightness
measurementtime,Time
rainin,Rain_Index
tempf,Temperature
winddir,Wind
winddir_avg2m,Wind
windgustdir,Speed
windgustdir_10m,Speed
windgustmph,Speed
windgustmph_10m,Speed
windspdmph_avg2m,Speed
windspeedmph,Speed
temp0,Temperature
temp1,Temperature
temp2,Temperature
temp3,Temperature
temp4,Temperature
humidity,Humidity
light,Brightness
temperature,Temperature
colortemp,Temperature
illuminance,Brightness
lastmotion,Motion
maxpower,Power
temperature,Temperature
Humidity percentage,Humidity
Pressure in hPa,Pressure
Temperature in Celcius,Temperature
Light (0-1024),Brightness
Light_Level,Brightness
Voltage,Voltage
Temperature,Temperature
Ah,Current
Wh,Power
Battery,Battery_Level
Ampere,Current
Colour 8,Colore
Colour 2,Colore
Colour 3,Colore
Colour 1,Colore
Colour 6,Colore
Colour 7,Colore
Colour 5,Colore
Colour 4,Colore
KDB Temp (F),Temperature
KD Temp (F),Temperature
MD Temp (F),Temperature
KA Temp (F),Temperature
LW Temp (F),Temperature
KTB Temp (F),Temperature
PRD Temp (F),Temperature
DD Temp (F),Temperature
Radiation uSv,Radiation
Radiation Clicks-Per-Minute,Radiation
Temperature,Temperature
Free pendrive FS (MB),Memory
Free root FS (MB),Memory
Free RAM (MB),Memory
Temp.[C],Temperature
Room Temperature,Temperature
DT Temperature,Temperature
Ph,PH
LED Temperature,Temperature
MDF Temperature,Temperature
Temperature (C),Temperature
Light Frequency,Brightness
Temperature (F),Temperature
Irradiance,Brightness
Lux,Brightness
hum,Humidity
temp,Temperature
a_phase_current,Current
a_phase_voltage,Voltage
b_phase_current,Current
b_phase_voltage,Voltage
c_phase_current,Current
c_phase_voltage,Voltage
humidity,Humidity
pressure,Pressure
rain,Rain_Index
temp,Temperature
voltage,Voltage
winddirection,Wind
windgust,Speed
windspeed,Speed
temp,Temperature
gal_per_min,Count
gallons,Capacity
sensor_sum,Count
time,Time
humidity,Humidity
pressure,Pressure
temp,Temperature
humidity,Humidity
temp,Temperature
light,Brightness
temp,Temperature
baromin,Pressure
batt_lvl,Battery_Level
dailyrainin,Rain_Index
dewptf,Temperature
humidity,Humidity
light_lvl,Brightness
rainin,Rain_Index
tempf,Temperature
winddir,Wind
winddir_avg2m,Wind
windgustdir,Speed
windgustdir_10m,Speed
windgustmph,Speed
windgustmph_10m,Speed
windspdmph_avg2m,Speed
