3,ioBridge Server,ioBridge IO-204 connected to web server to report temperatures to ThingSpeak,2010-12-03T14:26:23Z,2016-03-14T13:15:46Z,0.0,0.0,,270302
4,lee's test channel,γλώσстыннყაოს grâwen tägelîch safd asfd sadf as gsadg asgd asdg sad fsa fasd asdg sdfgas dgas g2,2010-12-04T06:05:43Z,2016-02-29T13:48:19Z,-75.0,40.0,,2100
9,my_house,Netduino Plus connected to sensors around the house,2010-12-14T01:20:06Z,2016-03-14T13:21:14Z,-79.9965,40.44,,9793255
10,Arduino Ethernet,Ofice Humidity using ioBridge FB-8 Humidity sensor; Arduino Diecimilia; and Ethernet Shield.,2010-12-18T19:55:24Z,2014-08-01T19:20:51Z,-77.226494,38.846696,,7141
13,Interior Temp,,2010-12-30T00:45:14Z,2014-08-01T19:20:51Z,0.0,0.0,,16219
14,My Front Room,Front Room Temperature,2011-01-03T01:54:40Z,2014-08-01T19:20:51Z,0.0,0.0,,160016
21,Channel 21,Arduino ThingSpeak Test,2011-01-22T14:38:54Z,2013-08-04T08:48:05Z,0.0,0.0,,1816519
53,Channel Test,Temperaturtest Sensor 1,2011-02-16T11:45:55Z,2014-03-03T17:48:05Z,0.0,0.0,,116114
56,Test channel,testing with Arduino Uno,2011-02-16T14:21:49Z,2014-03-20T03:48:08Z,0.0,0.0,,54
57,Channel 57,AguasClaras Weather Station sending Reative Humidity and Temperature,2011-02-16T14:39:00Z,2014-08-01T19:20:51Z,-47.88095,-15.804583,,360
67,Pixance,My mouse pixel distance covered in each time lapse; updated with Pixance.,2011-02-16T19:25:23Z,2014-08-01T19:20:51Z,0.0,0.0,,827
69,Lacomb; OR,Temperature data for a future weather station,2011-02-16T19:50:31Z,2014-08-01T19:20:51Z,-122.764713,44.578335,513,2534
105,The (Not Very Good) Tweeting Fire Alarm,A test channel for connecting an Arduino to Twitter,2011-02-18T10:24:06Z,2014-08-01T19:20:52Z,2.9816,53.402,85,None
108,LEDA USA Environment,Office conditions at grand street!,2011-02-18T15:52:01Z,2014-08-01T19:20:52Z,73.99204,40.71751,10',None
109,my test channel,,2011-02-18T16:46:47Z,2014-08-01T19:20:52Z,0.0,0.0,,1951
113,Freezer,,2011-02-19T02:48:44Z,2014-08-01T19:20:52Z,0.0,0.0,,1653
116,Channel 116 a ver ...,ESP8266 arduino,2011-02-19T16:06:45Z,2016-03-14T13:22:02Z,-76.772377,-11.9772968,671,32976
126,Channel 126,Public Channel 1 for Jim Davies.,2011-02-21T19:28:15Z,2014-08-01T19:20:52Z,0.0,0.0,,None
127,Channel 127,Public Channel 2 for Jim Davies.,2011-02-21T20:04:49Z,2014-08-01T19:20:52Z,0.0,0.0,,None
128,Netduino_Test,,2011-02-22T00:48:05Z,2014-08-01T19:20:52Z,0.0,0.0,,30466
135,Thermometer,Wireless outdoor thermometer (Electric Imp; TI TMP102 sensor; 4 x AA Energizer L91).,2011-02-23T22:43:37Z,2016-03-14T13:11:44Z,12.546301,55.652072,20m,75354
152,Channel 152,Weather Brest; France,2011-02-26T22:33:31Z,2014-08-01T19:20:52Z,0.0,0.0,,50829
157,Greenhouse monitor,An Arduino based greenhouse controller sending environment data via xbee to a gateway which posts the data to ThingSpeak,2011-03-01T20:21:37Z,2014-08-01T19:20:52Z,0.0,0.0,,812
162,Husum,Experimental Si7021 sensor setup.,2011-03-06T22:13:02Z,2016-03-14T13:19:45Z,9.0499663353,54.4755687845,20m,91997
167,Temperature,Temperature in the Cycle30 office,2011-03-11T19:16:08Z,2014-08-01T19:20:52Z,0.0,0.0,,206
168,SWRC Streamgage1,Pumphouse Streamgage,2011-03-12T01:00:24Z,2014-08-01T19:20:52Z,0.0,0.0,,13
169,Tap 1,Data channel for the Blue Tap,2011-03-12T17:20:00Z,2014-08-01T19:20:52Z,0.0,0.0,,15
178,Work Hours,Work Ratio,2011-03-17T21:23:11Z,2014-08-01T19:20:52Z,0.0,0.0,,4
185,Channel 185,IO Bridge Data,2011-03-22T13:45:37Z,2013-08-28T18:36:09Z,0.0,0.0,,232030
192,Channel 192,,2011-03-28T12:21:13Z,2015-06-24T06:57:26Z,0.0,0.0,,1013
198,Home - Indoor Temp,Temperature readings from Arduino 1-Wire network.,2011-03-29T01:02:06Z,2013-11-22T11:50:55Z,0.0,0.0,,235848
201,Channel 201,New channel,2011-03-29T11:15:26Z,2014-08-01T19:20:52Z,0.0,0.0,,146870
212,Digital Step Demo,,2011-03-29T20:05:20Z,2014-08-01T19:20:52Z,0.0,0.0,,8
216,test-wm1 (0x1c23),WM #1 (sensor 0x1c23),2011-03-30T01:57:06Z,2014-12-11T18:06:52Z,-55.9002399445,-27.3754258605,10 m,598
218,Roy's Hot Water System Controller,,2011-03-30T04:49:34Z,2014-08-01T19:20:53Z,0.0,0.0,,134
231,Office Temp,Temperature at my desk,2011-03-30T20:39:27Z,2014-08-01T19:20:53Z,0.0,0.0,,2871
233,Home - Outdoor Temp,Temperature readings from Arduino 1-Wire network.,2011-03-31T01:10:43Z,2013-11-22T11:50:57Z,-75.4734,40.06509,,252342
236,Attic,Left Side Attic Temp.,2011-03-31T14:17:03Z,2016-03-14T13:19:56Z,0.0,0.0,,511327
237,Outside,,2011-03-31T14:17:56Z,2016-03-14T13:19:57Z,0.0,0.0,,388488
239,Basement,Server Closet Temp,2011-03-31T14:18:28Z,2016-03-14T13:19:59Z,0.0,0.0,,433334
249,CEIT Rooms,Logs of room temperatures for 78-{416;417;418;420} - part of the current CEIT facility.,2011-04-01T05:57:45Z,2014-08-01T19:20:53Z,153.0153,-27.4998,22.5 metres,20
260,Gamma POSTr,,2011-04-04T04:54:02Z,2014-08-01T19:20:53Z,0.0,0.0,,68
261,LDR LUX  Miklos,Teste com arduino ethernet shield e LDR,2011-04-04T12:23:22Z,2014-08-01T19:20:53Z,0.0,0.0,,25
